room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2694647,1864688,Entire home/apt,,Dupont Circle,18,4.5,3.0,1.0,95.0,7.0,38.913396,-77.04258,2016-02-21 00:56:01.016198
3861766,8354112,Entire home/apt,,Dupont Circle,42,5.0,2.0,1.0,145.0,7.0,38.914697,-77.041761,2016-02-21 00:51:31.772586
3767679,19301676,Private room,,Au-Tenleytown,22,5.0,,1.0,100.0,1.0,38.929998,-77.100487,2016-02-21 00:50:45.532857
8840430,6523005,Private room,,Columbia Heights,2,,1.0,1.0,56.0,1.0,38.923592,-77.034438,2016-02-21 00:50:00.922672
9138327,47593419,Entire home/apt,,Downtown,1,5.0,4.0,2.0,170.0,1.0,38.900033,-77.016399,2016-02-21 00:49:49.317061
7893901,39724442,Entire home/apt,,Capitol Hill,8,4.5,,3.0,155.0,2.0,38.899261,-76.991933,2016-02-21 00:49:41.160137
661720,3202819,Entire home/apt,,Georgetown,70,4.5,3.0,1.0,150.0,1.0,38.906414,-77.068991,2016-02-21 00:49:35.516679
140290,17633,Entire home/apt,,Dupont Circle,35,4.5,4.0,1.0,99.0,,38.907371,-77.04744,2016-02-21 00:49:30.768137
10343120,10643713,Entire home/apt,,Columbia Heights,0,,4.0,3.0,150.0,3.0,38.93416,-77.025206,2016-02-21 00:49:18.742686
1952972,10096832,Entire home/apt,,Shaw,4,4.5,2.0,1.0,75.0,14.0,38.906108,-77.026748,2016-02-21 00:49:08.078765
4121052,3618468,Entire home/apt,,Brentwood,56,5.0,3.0,1.0,85.0,3.0,38.922292,-77.002174,2016-02-21 00:49:04.593814
9318555,11582224,Entire home/apt,,Georgetown,3,4.5,4.0,1.0,130.0,1.0,38.912363,-77.059358,2016-02-21 00:48:59.394585
9586160,5778691,Entire home/apt,,Downtown,11,5.0,,1.0,99.0,1.0,38.906012,-77.033672,2016-02-21 00:48:55.122798
3806145,320772,Entire home/apt,,Capitol Hill,0,,3.0,2.0,100.0,2.0,38.889387,-77.002344,2016-02-21 00:48:49.961331
9196284,2731246,Private room,,Capitol Hill,3,5.0,2.0,1.0,80.0,,38.889162,-77.001396,2016-02-21 00:48:41.915337
7855956,41398696,Entire home/apt,,Dupont Circle,2,5.0,2.0,1.0,175.0,1.0,38.913808,-77.04219,2016-02-21 00:48:28.105853
4544765,7249654,Entire home/apt,,Adams Morgan,22,5.0,4.0,2.0,189.0,2.0,38.922818,-77.045634,2016-02-21 00:48:04.729276
7438911,2431022,Private room,,Catholic University-Brookland,13,4.5,2.0,1.0,55.0,1.0,38.942899,-77.018402,2016-02-21 00:47:52.465230
985788,786914,Entire home/apt,,Dupont Circle,132,4.5,2.0,1.0,85.0,1.0,38.911516,-77.03829,2016-02-21 00:47:25.177952
